mana,card_text,attack,health,class,rarity,card_mark,minion_type,spell_school
1,Battlecry : Choose a minion  It can't attack while this is alive ,1.0,2.0,['Neutral'],Common,2.9,['Mech'],
2,Taunt  Choose One - +1 Attack; or +1 Health ,2.0,2.0,['Druid'],Common,3.0,['Mech'],
8,Deathrattle :  Deal 8 damage to all minions ,8.0,6.0,['Mage'],Legendary,2.9,['Elemental'],
2,Battlecry : The nextSecretyou play costs (0) ,2.0,3.0,['Neutral'],Common,4.4,,
3,Give your minions +1/+1 and Can't be targeted by spells or Hero Powers ,,,['Death Knight'],Rare,4.2,,Shadow
5,Battlecry :  Restore 8 Health to your hero ,3.0,3.0,['Neutral'],Common,4.6,['Mech'],
4,Deathrattle :  Return a friendly minion to your hand ,5.0,5.0,['Rogue'],Common,2.2,,
9,Deathrattle :  Return this to your hand and summon a 4/4 Nerubian ,8.0,4.0,['Rogue'],Legendary,3.1,,
5,Taunt Costs (0) if you've cast a spell that costs (5) or more this turn ,3.0,5.0,['Druid'],Epic,4.7,,
5,Deathrattle :  Give a random friendly minion +3/+3 ,4.0,4.0,['Neutral'],Common,2.8,,
9,Deathrattle : Give all minions in your hand +3/+3 ,9.0,6.0,['Neutral'],Common,2.1,,
8,Battlecry : Gain 8 Armor  Your next 3 minions this turn cost Armor instead of Mana ,7.0,7.0,['Druid'],Legendary,4.7,['Undead'],
10,Summon 7 Murlocs that died this game ,,,['Paladin'],Rare,4.3,,
5,Deal 5 damage  If your deck has no minions  summon a random 5-Cost minion ,,,['Mage'],Epic,2.6,,
2,After you play aSecret Discover a spell ,2.0,3.0,['Mage'],Epic,3.3,,
4,Battlecry and Deathrattle : Add a random Poison to your hand ,3.0,2.0,['Rogue'],Legendary,3.6,,
2,At the start of your turn  summon a 1-Cost minion from your deck ,1.0,3.0,['Warlock'],Rare,2.2,,
3,Give a minion +2/+3 andLifesteal ,,,['Priest'],Common,3.7,,Holy
0,Dredge  If you have Mana to play the card this turn  draw it ,,,['Druid'],Rare,4.8,,
5,Battlecry : Summon one of eachDormant Wildseed ,4.0,5.0,['Hunter'],Legendary,4.6,,
6,TauntWhen you draw this card  restore 4 Health to your hero ,4.0,6.0,['Warlock'],Common,2.8,['Demon'],
4,Battlecry :  Equip a 2/2 weapon ,3.0,3.0,['Warrior'],Common,3.0,,
5,Summon two 2/2 Treants  Give your minions +2/+1 ,,,['Druid'],Rare,3.9,,Nature
3,Your Hero Power deals 2 extra damage ,2.0,5.0,['Mage'],Common,4.0,['Elemental'],
1,After you cast a spell  give this minion +1 Health ,2.0,1.0,['Neutral'],Common,2.8,['Elemental'],
1,Whenever you cast a spell  gain Armor equal to its Cost ,1.0,3.0,['Mage'],Common,4.0,['Elemental'],
1,Deal 2 damage to a minion  This spell gets double bonus from Spell Damage ,,,['Mage'],Epic,3.8,,Arcane
1,Deal 2 damage Manathirst (8) : Deal 3 damage instead ,,,['Mage'],Common,3.1,,Arcane
1,Deal 2 damage to a minion  If you're holding a Dragon Discover a spell ,,,['Mage'],Rare,4.7,,Arcane
4,Add a copy of a 7  8  9  and 10-Cost spell in your deck to your hand ,,,['Mage'],Rare,4.2,,Arcane
8,Summon two 5/6 Golems withTaunt and Can't be targeted by spells or Hero Powers ,,,['Mage'],Rare,3.1,,Arcane
8,Whenever you cast a spell  gain +2/+2 ,4.0,8.0,['Neutral'],Rare,1.7,['Elemental'],
6,Battlecry :  Discover a spell that costs (5) or more ,3.0,4.0,['Neutral'],Rare,2.1,,
2,Deal 1 damage to all enemy minions ,,,['Mage'],,2.5,,Arcane
2,After you play aSecret  deal 2 damage to all enemy minions ,3.0,2.0,['Mage'],Rare,4.5,,
4,Whenever you play a 1-Cost minion  draw a spell from your deck ,3.0,3.0,['Hunter'],Epic,2.0,,
12,Costs (1) less for each spell you've cast this game ,8.0,8.0,['Neutral'],Epic,4.4,,
3,Charge  Battlecry : Give your opponent a Mana Crystal ,4.0,2.0,['Neutral'],Rare,1.7,,
3,Draw 2 cards ,,,['Mage'],Common,4.5,,Arcane
4,Battlecry :  Discover a Secret and put it into the battlefield ,2.0,2.0,['Mage'],Epic,4.1,,
3,Cards that didn't start in your deck cost (2) less  but not less than (1) ,4.0,3.0,['Mage'],Epic,3.3,['Elemental'],
1,Deal 3 damage randomly split among enemy characters ,,,['Mage'],,3.9,,Arcane
4,TauntCan't be targeted by spells or Hero Powers ,2.0,5.0,['Neutral'],Rare,3.0,['Mech'],
5,Deal 8 damage to an enemy minion  Summon a Remnant with stats equal to the excess damage ,,,['Mage'],Rare,3.0,,Arcane
2,Discovera spell from your deck  If it's Arcane  give itSpell Damage +1 ,,,['Hunter'],Epic,3.2,,Arcane
2,You must be logged in to post a comment ,2.0,3.0,['Neutral'],Common,2.0,['Elemental'],
1,Deal 2 damage ,,,['Hunter'],Rare,2.8,,Arcane
5,Costs (0) if you've cast a spell that costs (5) or more this turn ,4.0,4.0,['Neutral'],Epic,4.0,['Elemental'],
3,Can't attack unless you haveSpell Damage ,5.0,6.0,['Neutral'],Rare,3.0,,
1,Battlecry : Add an Arcane Bolt to your hand ,1.0,2.0,['Mage'],Common,4.7,,
5,You must be logged in to post a comment ,5.0,,['Warrior'],,3.7,,
3,Deathrattle : Summon a 1/1Lifesteal Undead  (Change your Health on your turn while equipped to improve!),3.0,,['Death Knight'],Rare,3.2,,
2,Battlecry :  Draw a Secret ,2.0,3.0,['Mage'],Common,4.3,,
6,Battlecry : If you played an Elemental last turn  deal 3 damage to all other minions ,3.0,3.0,['Mage'],Common,2.5,['Elemental'],
4,Battlecry :  Summon a 0/5 minion with Taunt ,3.0,2.0,['Neutral'],Common,2.6,,
9,Battlecry :  Discover a powerful Artifact ,7.0,8.0,['Neutral'],Legendary,3.4,,
7,TauntBattlecry : Replace your hand and deck with Legendary minions ,7.0,8.0,['Warlock'],Legendary,3.7,,
7,Battlecry :  Shuffle a copy of your opponent's deck into your deck ,4.0,6.0,['Priest'],Legendary,3.5,,
3,Dormantfor 2 turns  WhileDormant  add a Dream card to your hand at the end of your turn ,3.0,3.0,['Neutral'],Legendary,3.7,,
8,Battlecry : Discover5 cards  Replace your deck with 2 copies of each ,7.0,7.0,['Neutral'],Legendary,4.0,,
6,Spell Damage +1,4.0,7.0,['Neutral'],,2.1,,
7,Whenever you cast a spell  put a 'Fireball' spell into your hand ,5.0,7.0,['Mage'],Legendary,4.7,,
2,Whenever you draw a minion  add a copy of it to your hand ,2.0,2.0,['Mage'],Legendary,4.3,,
4,At the end of your turn  cast a spell you've cast this turn (targets are random) ,2.0,6.0,['Neutral'],Legendary,4.3,,
3,TauntDeathrattle : Shuffle Msshi'fn Prime' into your deck ,3.0,4.0,['Druid'],Legendary,4.2,,
8,Battlecry : Summon a random Demon from your hand and deck ,5.0,5.0,['Warlock'],Legendary,3.2,,
3,Deathrattle : Add 2 Arcane Bolts to your hand ,3.0,2.0,['Mage'],Rare,4.6,,
4,Battlecry :  Give all minions in your hand +1/+1 ,2.0,3.0,['Neutral'],Common,2.3,,
5,Overkill :  Summon another Arena Patron ,3.0,3.0,['Neutral'],Rare,1.4,,
4,Deathrattle :  Draw 2 cards ,0.0,4.0,['Neutral'],Common,1.4,,
4,Deathrattle :  Add a random Death Knight card to your hand ,2.0,2.0,['Neutral'],Legendary,3.7,['Beast'],
2,Battlecry : Gain Attack and Health to match the highest in the battlefield ,1.0,1.0,['Paladin'],Epic,4.7,,
6,Charge  Divine Shield,4.0,2.0,['Neutral'],Rare,3.6,,
3,Divine ShieldCharge,2.0,1.0,['Neutral'],Common,4.1,,
2,Battlecry :  Reveal a minion in each deck  If yours costs more  +1 Durability ,2.0,,['Paladin'],Rare,2.6,,
2,Battlecry :  Give a friendly minion Divine Shield ,3.0,2.0,['Paladin'],Common,3.8,,
1,Divine Shield,1.0,1.0,['Neutral'],Common,4.1,,
2,Can't attack  Inspire :  Can attack as normal this turn ,2.0,4.0,['Neutral'],Rare,1.6,,
3,Battlecry : If you played an Elemental last turn  gainRush andWindfury ,2.0,5.0,['Shaman'],Common,3.8,['Elemental'],
6,TauntAt the end of your turn  give allTaunt minions in your hand +2/+2 ,4.0,8.0,['Warrior'],Legendary,3.5,['Beast'],
1,Battlecry : Give 4 Armor to each hero ,1.0,3.0,['Neutral'],Rare,4.2,,
6,Whenever your hero attacks  gain 5 Armor ,6.0,7.0,['Warrior'],Common,3.4,,
4,Battlecry :  Reveal a minion in each deck  If yours costs more  gain Charge ,5.0,3.0,['Neutral'],Rare,2.5,['Beast'],
2,Whenever a friendly minion takes damage  gain 1 Armor ,1.0,4.0,['Warrior'],Rare,4.4,,
1,After you summon an Undead  give it +1 Attack ,1.0,2.0,['Neutral'],Common,3.4,['Undead'],
5,Raise up to 5Corpsesas 2/2 Risen Ghouls withRush ,,,['Death Knight'],Common,3.9,,Shadow
4,Deathrattle :  If it's your opponent's turn  summon a 2/2 Ghoul ,5.0,2.0,['Paladin'],Rare,2.4,,
2,After you cast a spell  deal 1 damage to the lowest Health enemy ,2.0,3.0,['Hunter'],Common,3.6,['Naga'],
2,Choose a minion  Destroy it after your hero takes damage ,,,['Warlock'],Common,4.5,,Fire
8,Battlecry :  Discoverand cast a Relic Infuse (5) : Cast all three instead ,8.0,8.0,"['Hunter', 'Demon Hunter']",Legendary,3.4,,
3,Battlecry : Whenever your opponent draws a card next turn  they take 2 damage ,2.0,4.0,['Neutral'],Epic,3.3,['Elemental'],
4,TauntLifesteal,3.0,5.0,"['Hunter', 'Demon Hunter']",Common,3.8,,
2,Battlecry : Give aStealthed minion +3 Attack andImmune this turn ,3.0,2.0,['Rogue'],Rare,4.4,,
3,Destroy the highest Attack enemy minion ,,,['Death Knight'],Common,3.2,,Shadow
4,Destroy an enemy minion ,,,['Rogue'],Common,3.7,,
4,You must be logged in to post a comment ,2.0,,['Rogue'],Rare,2.8,,
2,Battlecry : Add Astalor  the Protector to your hand Manathirst (5) : Deal 2 damage ,2.0,2.0,['Neutral'],Legendary,4.1,,
4,Gain 10 Mana Crystals Discard your hand ,,,['Druid'],Epic,2.5,,Arcane
2,Add 2 random minions to your hand ,,,['Mage'],Rare,2.4,,Arcane
4,Deathrattle :  Shuffle a copy of this minion into your deck ,3.0,5.0,['Druid'],Epic,3.2,,
7,Battlecry :  Summon a random minion with a Cost equal to the number of cards in your hand ,5.0,5.0,['Mage'],Epic,3.7,,
2,Spell Damage +1Deathrattle : Shuffle 'Solarian Prime' into your deck ,3.0,2.0,['Mage'],Legendary,4.5,,
3,TauntBattlecry : Cast a copy of the last spell your opponent played ,3.0,4.0,['Warrior'],Legendary,3.9,,
1,Discover aRush minion  Your next one costs (1) less ,,,['Warrior'],Common,3.7,,
2,Choose One-Silencea minion; or Give a minionImmune this turn ,1.0,3.0,['Druid'],Common,4.5,,
2,Battlecry :  This turn  your healing effects deal damage instead ,3.0,2.0,['Priest'],Epic,3.7,,
4,Your cards and powers that restore Health now deal damage instead ,3.0,5.0,['Priest'],Rare,4.4,,
2,Whenever youTrade  Discovera card from your deck to draw instead ,2.0,3.0,['Neutral'],Legendary,2.8,,
2,After your hero attacks  reduce the Cost of aBattlecry minion in your hand by (1) ,2.0,,['Shaman'],Rare,3.3,,
3,After you cast a spell  refresh your Hero Power ,3.0,4.0,['Neutral'],Legendary,2.5,,
2,Battlecry : Set your maximum Mana and hand size to 11 ,2.0,3.0,['Neutral'],Epic,4.1,['Mech'],
2,RushFinale : GainLifesteal ,2.0,3.0,['Neutral'],Common,3.0,,
2,Deathrattle : Copy the highest Cost spell in your hand ,3.0,2.0,['Mage'],Common,3.7,['Mech'],
3,Whenever you shuffle a card into a deck  shuffle in an extra copy ,3.0,4.0,['Neutral'],Epic,4.1,['Beast'],
3,Deathrattle : Deal this minion's Attack damage randomly split among all enemies ,2.0,4.0,['Hunter'],Epic,3.2,['Beast'],
4,Summon a random 4-Cost minion Corrupt : Summon a 7-Cost minion instead ,,,['Priest'],Rare,3.0,,Shadow
1,Secret :  When one of your minions is attacked  give it Divine Shield ,,,['Paladin'],Common,3.8,,
4,Freeze a minion and deal 3 damage to adjacent ones ,,,['Shaman'],Rare,3.7,,
1,Secret :  When one of your minions dies  give a friendly minion +3/+2 ,,,['Paladin'],Common,4.3,,Holy
6,Deal 8 damage randomly split among enemy characters ,,,['Paladin'],Epic,3.4,,Holy
5,Battlecry :  If you control a Secret  gain +1/+1 and Taunt ,3.0,6.0,['Neutral'],Rare,3.1,,
10,Your minions cost (1) ,5.0,5.0,['Druid'],Legendary,4.1,,
3,InvokeGalakrond  Deal 1 damage to all minions ,,,['Warrior'],Common,3.2,,
1,Quest :  Summon 7 Deathrattle minions Reward :  Amara  Warden of Hope ,,,['Priest'],Legendary,4.2,,
4,Rush  Honorable Kill : Draw a weapon ,3.0,5.0,['Warrior'],Common,3.0,,
4,Whenever this minion takes damage  deal 2 damage to the enemy hero ,2.0,5.0,['Warrior'],Common,2.8,,
6,Battlecry and Deathrattle :  Summon a Jade Golem ,5.0,3.0,"['Druid', 'Rogue', 'Shaman']",Legendary,4.5,,
7,Battlecry :  Replace your hand with a copy of your opponent's ,3.0,3.0,['Neutral'],Legendary,2.6,,
5,At the start of your turn  gainSpell Damage+2 ,2.0,7.0,['Neutral'],Epic,2.3,['Elemental'],
4,Rush  Deathrattle : Put a 'Sunken Defector' on the bottom of your deck ,5.0,3.0,"['Hunter', 'Demon Hunter']",Rare,3.6,,
1,Give all minions in your hand +1/+1  Put a 'Sunken Gardens' on the bottom of your deck ,,,['Druid'],Common,4.0,,
3,Divine Shield  Battlecry : Put a 'Sunken Mooncatcher' on the bottom of your deck ,4.0,2.0,['Paladin'],Rare,3.8,['Mech'],
4,Silence a minion and summon a copy of it  Put 'Sunken Ritual' on the bottom of your deck ,,,['Priest'],Rare,2.5,,
4,Rush  Deathrattle : Put a 'Sunken Saber' on the bottom of your deck ,4.0,3.0,['Hunter'],Common,2.1,['Beast'],
2,Battlecry : Put a 'Sunken Scavenger' on the bottom of your deck ,2.0,3.0,['Warlock'],Common,2.9,['Murloc'],
1,Discovera Fire  Frost or Nature spell  Put a 'Sunken Scroll' on the bottom of your deck ,,,['Shaman'],Rare,4.6,,
5,Taunt  Deathrattle : Put a 'Sunken Sentinel' on the bottom of your deck ,5.0,6.0,['Neutral'],Common,3.0,,
3,Battlecry : Put 'Sunken Sweeper' on the bottom of your deck ,3.0,4.0,['Mage'],Common,2.6,['Mech'],
3,Deathrattle : Put a 'Sunken Trident' on the bottom of your deck ,3.0,,['Warrior'],Common,2.7,,
5,Summon two 3/3 Pirates withStealth  Put a 'Sunken Vessel' on the bottom of your deck ,,,['Rogue'],Epic,3.1,,
5,Spell Damage +1  Battlecry :  Draw a card ,4.0,5.0,['Neutral'],Rare,4.7,['Dragon'],
4,Spell Damage +2Battlecry : Discovera Dragon ,2.0,3.0,['Mage'],Common,3.6,['Dragon'],
4,Battlecry : If you've cast a spell while holding this  deal 3 damage ,4.0,4.0,['Neutral'],Common,2.9,['Naga'],
1,Battlecry :  Add a random Mage spell to your hand ,1.0,2.0,['Mage'],Rare,4.0,,
3,Draw 3 cards  Deal 3 damage to your hero ,,,['Warlock'],Common,4.7,,Fire
4,Whenever a friendly minion dies  gain +1 Attack ,4.0,4.0,['Neutral'],Rare,1.9,,
0,Deal 2 damage to an undamaged minion ,,,['Rogue'],Common,4.6,,
3,Deathrattle :  Deal 2 damage to the enemy hero ,3.0,1.0,['Neutral'],Common,1.4,,
3,Deathrattle : Shuffle two 1/1 Albatross into your opponent's deck ,4.0,3.0,['Neutral'],Rare,3.9,['Beast'],
5,Deal 3 damage  Overkill :  Summon a 5/5 Devilsaur ,,,['Hunter'],Common,3.0,,
9,Start of Game :  If your deck has only odd-Cost cards  upgrade your Hero Power ,7.0,8.0,['Neutral'],Legendary,4.0,['Beast'],
2,Battlecry :  Choose a friendly minion  Shuffle a copy of it into your deck ,2.0,2.0,['Neutral'],Epic,4.2,,
6,Battlecry : Draw 2 spells  Swap their Costs with this minion's stats ,5.0,5.0,['Mage'],Legendary,3.1,,
6,Summon three 1/1 Webspinners ,,,['Hunter'],Rare,2.8,,
4,Battlecry : Give your Silver Hand Recruits +1 Attack and Divine Shield ,3.0,5.0,['Paladin'],Rare,4.0,,
2,Secret : When one of your minions is attacked  transform it into a random one that costs (3) more ,,,['Rogue'],Epic,4.7,,
3,Battlecry :  Add 2 Bananas to your hand ,2.0,2.0,['Neutral'],Common,2.9,,
3,Battlecry : Add 2 Bananas to each player's hand ,2.0,4.0,['Neutral'],Common,2.0,,
5,Each turn this is in your hand  transform it into a 5/5 copy of a randomLegendary minion ,5.0,5.0,['Shaman'],Legendary,3.0,,
5,Deal 2 damage to a character  If that kills it  summon a random Demon ,,,['Warlock'],Epic,3.6,,Shadow
10,RushWhenever this attacks  draw a Beast and gain its stats ,5.0,6.0,['Hunter'],Rare,2.7,['Beast'],
1,Deathrattle : Give a random friendly Undead +2/+1 ,2.0,1.0,['Neutral'],Rare,2.9,['Undead'],
5,Battlecry : Draw a 1  2  and 3-Cost spell ,3.0,5.0,['Hunter'],Legendary,3.9,,
6,Taunt  Battlecry : Swap the Cost of a random spell in each player's hand ,3.0,7.0,['Neutral'],Common,2.4,['Naga'],
1,Deal 2 damage to an enemy  If you played a Naga while holding this  choose a second target ,,,['Hunter'],Common,4.7,,
