name,mana,card_text,attack,health,durability,class,card_type,rarity,card_mark,minion_type,spell_school
afterlife-attendant,3,Your Infuse cards also Infuse while in your deck ,3.0,4.0,,['Neutral'],Minion,Rare,3.1,,
against-all-odds,5,Destroy ALL odd-Attack minions ,,,,['Priest'],Spell,Epic,2.7,,Holy
aimed-shot,3,Deal 3 damage  Your next Hero Power deals 2 more damage ,,,,['Hunter'],Spell,Common,4.7,,
air-elemental,1,Can't be targeted by spells or Hero Powers ,2.0,1.0,,['Shaman'],Minion,Common,3.5,['Elemental'],
air-guitarist,1,Battlecry :  Give your weapon +1 Durability ,1.0,1.0,,['Neutral'],Minion,Common,2.6,,
air-raid,2,TwinspellSummon two 1/1 Silver Hand Recruits with Taunt ,,,,['Paladin'],Spell,Rare,3.6,,
akali-the-rhino,8,Rush  Overkill :  Draw a Rush minion and give +5/+5 ,5.0,5.0,,['Warrior'],Minion,Legendary,3.5,['Beast'],
akama,3,StealthDeathrattle :  Shuffle 'Akama Prime' into your deck ,3.0,4.0,,['Rogue'],Minion,Legendary,4.0,,
alakir-the-windlord,8,Charge  Divine Shield  Taunt  Windfury,3.0,6.0,,['Shaman'],Minion,Legendary,3.9,['Elemental'],
alar,5,Deathrattle :  Summon a 0/3 Ashes of Al'ar that resurrects this minion on your next turn ,7.0,3.0,,['Neutral'],Minion,Legendary,1.9,['Elemental'],
alarm-o-bot,3,At the start of your turn  swap this minion with a random one in your hand ,0.0,3.0,,['Neutral'],Minion,Rare,2.3,['Mech'],
aldor-attendant,1,Battlecry :  Reduce the Cost of your Librams by (1) this game ,1.0,3.0,,['Paladin'],Minion,Common,4.3,,
aldor-peacekeeper,3,Battlecry :  Change an enemy minion's Attack to 1 ,3.0,3.0,,['Paladin'],Minion,Rare,4.5,,
aldor-truthseeker,5,Taunt  Battlecry :  Reduce the Cost of your Librams by (2) this game ,4.0,6.0,,['Paladin'],Minion,Rare,4.4,,
aldrachi-warblades,3,Lifesteal,2.0,,2.0,"['Hunter', 'Demon Hunter']",Weapon,Common,4.1,,
alexandros-mograine,7,Battlecry :  For the rest of the game  deal 3 damage to your opponent at the end of your turn ,7.0,7.0,,['Death Knight'],Minion,Legendary,4.6,,
alexstrasza,9,Battlecry :  Set a hero's remaining Health to 15 ,8.0,8.0,,['Neutral'],Minion,Legendary,4.6,['Dragon'],
alexstrasza-the-life-binder,9,Battlecry :  Choose a character  If it's friendly  Restore 8 Health  If it's an enemy  deal 8 damage ,8.0,8.0,,['Neutral'],Minion,Legendary,4.4,['Dragon'],
alexstraszas-champion,2,Battlecry :  If you're holding a Dragon  gain +1 Attack and Charge ,2.0,3.0,,['Warrior'],Minion,Rare,4.1,,
all-fel-breaks-loose,5,Summon a friendly Demon that died this game Infuse (3 Demons) : Summon three instead ,,,,"['Hunter', 'Demon Hunter']",Spell,Common,3.2,,Fel
alley-armorsmith,5,TauntWhenever this minions deals damage  gain that much Armor ,2.0,7.0,,['Warrior'],Minion,Rare,3.5,,
alleycat,1,Battlecry :  Summon a 1/1 Cat ,1.0,1.0,,['Hunter'],Minion,Common,4.3,['Beast'],
alliance-bannerman,3,Battlecry :  Draw a minion  Give minions in your hand +1/+1 ,2.0,2.0,,['Paladin'],Minion,Common,4.6,,
altar-of-fire,1,Destroy top 3 cards of each deck ,,,,['Warlock'],Spell,Epic,3.5,,Fire
altered-chord,5,LifestealDeal 6 damage to a minion  Costs (3) less if you're Overloaded ,,,,['Shaman'],Spell,Rare,3.3,,Nature
altruis-the-outcast,4,After you play the left- or right-most card in your hand  deal 1 damage to all enemies ,4.0,2.0,,"['Hunter', 'Demon Hunter']",Minion,Legendary,4.1,,
aluneth,6,At the end of your turn  draw 3 cards ,0.0,,3.0,['Mage'],Weapon,Legendary,3.3,,
amalgam-of-the-deep,2,Battlecry :  Choose a friendly minion  Discover a minion of the same type ,2.0,3.0,,['Neutral'],Minion,Epic,4.3,['Amalgam'],
amani-berserker,2,Enrage :  +3 Attack,2.0,3.0,,['Neutral'],Minion,Common,3.2,,
amani-war-bear,7,RushTaunt,5.0,7.0,,['Neutral'],Minion,Common,2.6,['Beast'],
ambassador-faelin,4,Battlecry :  Put 3 Colossal minions on the bottom of your deck ,4.0,5.0,,['Neutral'],Minion,Legendary,3.4,,
amber-watcher,5,Battlecry :  Restore 8 Health ,4.0,6.0,,['Paladin'],Minion,Common,4.6,['Dragon'],
amber-whelp,3,Battlecry :  If you're holding a Dragon  deal 3 damage ,3.0,3.0,,['Neutral'],Minion,Common,3.5,['Dragon'],
ambush,2,Secret :  After your opponent plays a minion  summon a 2/3 Ambusher with Poisonous ,,,,['Rogue'],Spell,Rare,3.6,,
amgam-rager,3,You must be logged in to post a comment ,1.0,5.0,,['Neutral'],Minion,Common,1.7,,
amorphous-slime,5,Battlecry :  Discard a random Undead Deathrattle :  Summon a copy of it ,5.0,3.0,,['Warlock'],Minion,Epic,3.4,,
amplified-elekk,10,TauntDeathrattle :  Deal 3 damage to all enemy minions ,6.0,12.0,,['Neutral'],Minion,Common,1.6,['Beast'],
amplified-snowflurry,2,Battlecry :  Your next Hero Power costs (0) and Freezes the target ,2.0,3.0,,['Mage'],Minion,Common,4.4,['Elemental'],
amulet-of-undying,3,TradeableResurrect 1 friendly Deathrattle minion (Upgrades when Traded!),,,,['Priest'],Spell,Common,4.1,,Shadow
anachronos,7,Battlecry :  Send all other minions 2 turns into the future ,8.0,8.0,,['Paladin'],Minion,Legendary,4.6,['Dragon'],
ancestors-call,4,Put a random minion from each player's hand into the battlefield ,,,,['Shaman'],Spell,Epic,3.0,,
ancestral-guardian,4,LifestealReborn,4.0,2.0,,['Paladin'],Minion,Common,3.0,,
ancestral-healing,0,Restore a minion to full Health and give it Taunt ,,,,['Shaman'],Spell,,2.3,,Nature
ancestral-knowledge,2,Draw 2 cards Overload :  (1),,,,['Shaman'],Spell,Common,3.5,,
ancestral-spirit,2,Choose a minion  When that minion is destroyed  return it to the battlefield ,,,,['Shaman'],Spell,Rare,3.6,,
ancharrr,3,After your hero attacks  draw a Pirate from your deck ,2.0,,2.0,['Warrior'],Weapon,Legendary,3.5,,
anchored-totem,2,After you summon a 1-Cost minion  give it +2/+1 ,0.0,3.0,,['Shaman'],Minion,Common,3.8,['Totem'],
ancient-brewmaster,4,Battlecry :  Return a friendly minion from the battlefield to your hand ,5.0,4.0,,['Neutral'],Minion,Common,2.6,,
ancient-harbinger,6,At the start of your turn  put a 10-Cost minion from your deck into your hand ,4.0,6.0,,['Neutral'],Minion,Epic,3.0,,
ancient-krakenbane,3,Battlecry :  If you've cast three spells while holding this  deal 5 damage ,3.0,3.0,,['Hunter'],Minion,Rare,4.0,['Naga'],
ancient-mage,4,Battlecry :  Give adjacent minions Spell Damage +1 ,2.0,5.0,,['Neutral'],Minion,Rare,2.1,,
ancient-mysteries,2,Draw a Secret from your deck  It costs (0) ,,,,['Mage'],Spell,Common,4.3,,Arcane
ancient-of-blossoms,6,Taunt,3.0,8.0,,['Neutral'],Minion,Common,2.1,,
ancient-of-lore,7,Choose One - Draw two cards; or Restore 7 Health ,7.0,7.0,,['Druid'],Minion,Epic,2.8,,
ancient-of-war,7,Choose One - +5 Attack; or +5 Health and Taunt ,5.0,5.0,,['Druid'],Minion,Epic,4.4,,
ancient-shade,4,Battlecry :  Shuffle an Ancient Curse into your deck that deals 7 damage to you when drawn ,7.0,4.0,,['Neutral'],Minion,Rare,1.9,,
ancient-shieldbearer,7,Battlecry :  If your C'Thun has at least 10 Attack  gain 10 Armor ,6.0,6.0,,['Warrior'],Minion,Rare,4.4,,
ancient-void-hound,9,At the end of your turn  steal 1 Attack and Health from all enemy minions ,10.0,10.0,,"['Hunter', 'Demon Hunter']",Minion,Epic,3.0,['Demon'],
ancient-watcher,2,Can't Attack ,4.0,5.0,,['Neutral'],Minion,Rare,2.8,,
anetheron,6,Costs (1) if your hand is full ,8.0,6.0,,['Warlock'],Minion,Legendary,2.6,['Demon'],
angry-chicken,1,Enrage :  +5 Attack ,1.0,1.0,,['Neutral'],Minion,Rare,2.5,['Beast'],
anima-extractor,2,Whenever a friendly minion takes damage  give a random minion in your hand +1/+1 ,1.0,4.0,,['Warrior'],Minion,Common,3.7,,
anima-golem,6,At the end of each turn  destroy this minion if it's your only one ,9.0,9.0,,['Warlock'],Minion,Epic,2.3,['Mech'],
animal-companion,3,Summon a random Beast Companion ,,,,['Hunter'],Spell,,4.7,,
animate-dead,1,Resurrect a friendly minion that costs (3) or less ,,,,['Priest'],Spell,Rare,3.9,,Shadow
animated-armor,4,Your hero can only take 1 damage at a time ,4.0,4.0,,['Mage'],Minion,Rare,3.2,,
animated-avalanche,7,Battlecry :  If you played an Elemental last turn  summon a copy of this ,7.0,6.0,,['Mage'],Minion,Common,3.9,['Elemental'],
animated-berserker,1,After you play a minion  deal 1 damage to it ,1.0,3.0,,['Warrior'],Minion,Common,3.1,,
animated-broomstick,1,RushBattlecry :  Give your other minions Rush ,1.0,1.0,,['Neutral'],Minion,Common,3.6,,
anka-the-buried,5,Battlecry :  Change each Deathrattle minion in your hand into 1/1 that costs (1) ,5.0,5.0,,['Rogue'],Minion,Legendary,3.6,,
annoy-o-module,4,MagneticDivine ShieldTaunt,2.0,4.0,,['Paladin'],Minion,Rare,3.8,['Mech'],
annoy-o-tron,2,TauntDivine Shield,1.0,2.0,,['Neutral'],Minion,Common,4.2,['Mech'],
annoy-o-troupe,9,Taunt  Divine ShieldDeathrattle :  Summon three 1/2 Mechs with Taunt and Divine Shield ,3.0,6.0,,['Paladin'],Minion,Epic,3.7,['Mech'],
annoying-fan,1,Battlecry :  Choose a minion  It can't attack while this is alive ,1.0,2.0,,['Neutral'],Minion,Common,2.9,['Mech'],
anodized-robo-cub,2,Taunt  Choose One - +1 Attack; or +1 Health ,2.0,2.0,,['Druid'],Minion,Common,3.0,['Mech'],
anomalus,8,Deathrattle :  Deal 8 damage to all minions ,8.0,6.0,,['Mage'],Minion,Legendary,2.9,['Elemental'],
anonymous-informant,2,Battlecry :  The next Secret you play costs (0) ,2.0,3.0,,['Neutral'],Minion,Common,4.4,,
anti-magic-shell,3,Give your minions +1/+1 and Can't be targeted by spells or Hero Powers ,,,,['Death Knight'],Spell,Rare,4.2,,Shadow
antique-healbot,5,Battlecry :  Restore 8 Health to your hero ,3.0,3.0,,['Neutral'],Minion,Common,4.6,['Mech'],
anubar-ambusher,4,Deathrattle :  Return a friendly minion to your hand ,5.0,5.0,,['Rogue'],Minion,Common,2.2,,
anubarak,9,Deathrattle :  Return this to your hand and summon a 4/4 Nerubian ,8.0,4.0,,['Rogue'],Minion,Legendary,3.1,,
anubisath-defender,5,Taunt  Costs (0) if you've cast a spell that costs (5) or more this turn ,3.0,5.0,,['Druid'],Minion,Epic,4.7,,
anubisath-sentinel,5,Deathrattle :  Give a random friendly minion +3/+3 ,4.0,4.0,,['Neutral'],Minion,Common,2.8,,
anubisath-warbringer,9,Deathrattle :  Give all minions in your hand +3/+3 ,9.0,6.0,,['Neutral'],Minion,Common,2.1,,
anubrekhan,8,Battlecry :  Gain 8 Armor  Your next  3 minions this turn cost Armor instead of Mana ,7.0,7.0,,['Druid'],Minion,Legendary,4.7,['Undead'],
anyfin-can-happen,10,Summon 7 Murlocs that died this game ,,,,['Paladin'],Spell,Rare,4.3,,
apexis-blast,5,Deal 5 damage  If your deck has no minions  summon a random 5-Cost minion ,,,,['Mage'],Spell,Epic,2.6,,
apexis-smuggler,2,After you play a Secret  Discover a spell ,2.0,3.0,,['Mage'],Minion,Epic,3.3,,
apothecary-helbrim,4,Battlecry and Deathrattle :  Add a random Poison to your hand ,3.0,2.0,,['Rogue'],Minion,Legendary,3.6,,
apothecarys-caravan,2,At the start of your turn  summon a 1-Cost minion from your deck ,1.0,3.0,,['Warlock'],Minion,Rare,2.2,,
apotheosis,3,Give a minion +2/+3 and Lifesteal ,,,,['Priest'],Spell,Common,3.7,,Holy
aquatic-form,0,Dredge  If you have Mana to play the card this turn  draw it ,,,,['Druid'],Spell,Rare,4.8,,
aralon,5,Battlecry :  Summon one of each Dormant Wildseed ,4.0,5.0,,['Hunter'],Minion,Legendary,4.6,,
aranasi-broodmother,6,TauntWhen you draw this card  restore 4 Health to your hero ,4.0,6.0,,['Warlock'],Minion,Common,2.8,['Demon'],
arathi-weaponsmith,4,Battlecry :  Equip a 2/2 weapon ,3.0,3.0,,['Warrior'],Minion,Common,3.0,,
arbor-up,5,Summon two 2/2 Treants  Give your minions +2/+1 ,,,,['Druid'],Spell,Rare,3.9,,Nature
arcane-amplifier,3,Your Hero Power deals 2 extra damage ,2.0,5.0,,['Mage'],Minion,Common,4.0,['Elemental'],
arcane-anomaly,1,After you cast a spell  give this minion +1 Health ,2.0,1.0,,['Neutral'],Minion,Common,2.8,['Elemental'],
arcane-artificer,1,Whenever you cast a spell  gain Armor equal to its Cost ,1.0,3.0,,['Mage'],Minion,Common,4.0,['Elemental'],
arcane-blast,1,Deal 2 damage to a minion  This spell gets double bonus from Spell Damage ,,,,['Mage'],Spell,Epic,3.8,,Arcane
arcane-bolt,1,Deal 2 damage Manathirst (8) :  Deal 3 damage instead ,,,,['Mage'],Spell,Common,3.1,,Arcane
arcane-breath,1,Deal 2 damage to a minion  If you're holding a Dragon  Discover a spell ,,,,['Mage'],Spell,Rare,4.7,,Arcane
arcane-brilliance,4,Add a copy of a 7  8  9  and 10-Cost spell in your deck to your hand ,,,,['Mage'],Spell,Rare,4.2,,Arcane
arcane-defenders,8,Summon two 5/6 Golems with Taunt and Can't be targeted by spells or Hero Powers ,,,,['Mage'],Spell,Rare,3.1,,Arcane
arcane-devourer,8,Whenever you cast a spell  gain +2/+2 ,4.0,8.0,,['Neutral'],Minion,Rare,1.7,['Elemental'],
arcane-dynamo,6,Battlecry :  Discover a spell that costs (5) or more ,3.0,4.0,,['Neutral'],Minion,Rare,2.1,,
arcane-explosion,2,Deal 1 damage to all enemy minions ,,,,['Mage'],Spell,,2.5,,Arcane
arcane-flakmage,2,After you play a Secret  deal 2 damage to all enemy minions ,3.0,2.0,,['Mage'],Minion,Rare,4.5,,
arcane-fletcher,4,Whenever you play a 1-Cost minion  draw a spell from your deck ,3.0,3.0,,['Hunter'],Minion,Epic,2.0,,
arcane-giant,12,Costs (1) less for each spell you've cast this game ,8.0,8.0,,['Neutral'],Minion,Epic,4.4,,
arcane-golem,3,Charge  Battlecry :  Give your opponent a Mana Crystal ,4.0,2.0,,['Neutral'],Minion,Rare,1.7,,
arcane-intellect,3,Draw 2 cards ,,,,['Mage'],Spell,Common,4.5,,Arcane
arcane-keysmith,4,Battlecry :  Discover a Secret and put it into the battlefield ,2.0,2.0,,['Mage'],Minion,Epic,4.1,,
arcane-luminary,3,Cards that didn't start in your deck cost (2) less  but not less than (1) ,4.0,3.0,,['Mage'],Minion,Epic,3.3,['Elemental'],
arcane-missiles,1,Deal 3 damage randomly split among enemy characters ,,,,['Mage'],Spell,,3.9,,Arcane
arcane-nullifier-x-21,4,TauntCan't be targeted by spells or Hero Powers ,2.0,5.0,,['Neutral'],Minion,Rare,3.0,['Mech'],
arcane-overflow,5,Deal 8 damage to an enemy minion  Summon a Remnant with stats equal to the excess damage ,,,,['Mage'],Spell,Rare,3.0,,Arcane
arcane-quiver,2,Discover a spell from your deck  If it's Arcane  give it Spell Damage +1 ,,,,['Hunter'],Spell,Epic,3.2,,Arcane
arcane-servant,2,You must be logged in to post a comment ,2.0,3.0,,['Neutral'],Minion,Common,2.0,['Elemental'],
arcane-shot,1,Deal 2 damage ,,,,['Hunter'],Spell,Rare,2.8,,Arcane
arcane-tyrant,5,Costs (0) if you've cast a spell that costs (5) or more this turn ,4.0,4.0,,['Neutral'],Minion,Epic,4.0,['Elemental'],
arcane-watcher,3,Can't attack unless you have Spell Damage ,5.0,6.0,,['Neutral'],Minion,Rare,3.0,,
arcane-wyrm,1,Battlecry :  Add an Arcane Bolt to your hand ,1.0,2.0,,['Mage'],Minion,Common,4.7,,
arcanite-reaper,5,You must be logged in to post a comment ,5.0,,2.0,['Warrior'],Weapon,,3.7,,
arcanite-ripper,3,Deathrattle :  Summon a 1/1 Lifesteal Undead  (Change your Health on your turn while equipped to improve!),3.0,,2.0,['Death Knight'],Weapon,Rare,3.2,,
arcanologist,2,Battlecry :  Draw a Secret ,2.0,3.0,,['Mage'],Minion,Common,4.3,,
arcanosaur,6,Battlecry :  If you played an Elemental last turn  deal 3 damage to all other minions ,3.0,3.0,,['Mage'],Minion,Common,2.5,['Elemental'],
arcanosmith,4,Battlecry :  Summon a 0/5 minion with Taunt ,3.0,2.0,,['Neutral'],Minion,Common,2.6,,
arch-thief-rafaam,9,Battlecry :  Discover a powerful Artifact ,7.0,8.0,,['Neutral'],Minion,Legendary,3.4,,
arch-villain-rafaam,7,TauntBattlecry :  Replace your hand and deck with Legendary minions ,7.0,8.0,,['Warlock'],Minion,Legendary,3.7,,
archbishop-benedictus,7,Battlecry :  Shuffle a copy of your opponent's deck into your deck ,4.0,6.0,,['Priest'],Minion,Legendary,3.5,,
archdruid-naralex,3,Dormant for 2 turns  While Dormant  add a Dream card to your hand at the end of your turn ,3.0,3.0,,['Neutral'],Minion,Legendary,3.7,,
archivist-elysiana,8,Battlecry :  Discover 5 cards  Replace your deck with 2 copies of each ,7.0,7.0,,['Neutral'],Minion,Legendary,4.0,,
archmage,6,Spell Damage +1,4.0,7.0,,['Neutral'],Minion,,2.1,,
archmage-antonidas,7,Whenever you cast a spell  put a 'Fireball' spell into your hand ,5.0,7.0,,['Mage'],Minion,Legendary,4.7,,
archmage-arugal,2,Whenever you draw a minion  add a copy of it to your hand ,2.0,2.0,,['Mage'],Minion,Legendary,4.3,,
archmage-vargoth,4,At the end of your turn  cast a spell you've cast this turn (targets are random) ,2.0,6.0,,['Neutral'],Minion,Legendary,4.3,,
archspore-msshifn,3,TauntDeathrattle :  Shuffle Msshi'fn Prime' into your deck ,3.0,4.0,,['Druid'],Minion,Legendary,4.2,,
archwitch-willow,8,Battlecry :  Summon a random Demon from your hand and deck ,5.0,5.0,,['Warlock'],Minion,Legendary,3.2,,
arcsplitter,3,Deathrattle :  Add 2 Arcane Bolts to your hand ,3.0,2.0,,['Mage'],Minion,Rare,4.6,,
arena-fanatic,4,Battlecry :  Give all minions in your hand +1/+1 ,2.0,3.0,,['Neutral'],Minion,Common,2.3,,
arena-patron,5,Overkill :  Summon another Arena Patron ,3.0,3.0,,['Neutral'],Minion,Rare,1.4,,
arena-treasure-chest,4,Deathrattle :  Draw 2 cards ,0.0,4.0,,['Neutral'],Minion,Common,1.4,,
arfus,4,Deathrattle :  Add a random Death Knight card to your hand ,2.0,2.0,,['Neutral'],Minion,Legendary,3.7,['Beast'],
argent-braggart,2,Battlecry :  Gain Attack and Health to match the highest in the battlefield ,1.0,1.0,,['Paladin'],Minion,Epic,4.7,,
argent-commander,6,Charge  Divine Shield,4.0,2.0,,['Neutral'],Minion,Rare,3.6,,
argent-horserider,3,Divine ShieldCharge,2.0,1.0,,['Neutral'],Minion,Common,4.1,,
argent-lance,2,Battlecry :  Reveal a minion in each deck  If yours costs more  +1 Durability ,2.0,,2.0,['Paladin'],Weapon,Rare,2.6,,
argent-protector,2,Battlecry :  Give a friendly minion Divine Shield ,3.0,2.0,,['Paladin'],Minion,Common,3.8,,
argent-squire,1,Divine Shield,1.0,1.0,,['Neutral'],Minion,Common,4.1,,
argent-watchman,2,Can't attack  Inspire :  Can attack as normal this turn ,2.0,4.0,,['Neutral'],Minion,Rare,1.6,,
arid-stormer,3,Battlecry :  If you played an Elemental last turn  gain Rush and Windfury ,2.0,5.0,,['Shaman'],Minion,Common,3.8,['Elemental'],
armagedillo,6,TauntAt the end of your turn  give all Taunt minions in your hand +2/+2 ,4.0,8.0,,['Warrior'],Minion,Legendary,3.5,['Beast'],
armor-vendor,1,Battlecry :  Give 4 Armor to each hero ,1.0,3.0,,['Neutral'],Minion,Rare,4.2,,
armored-goon,6,Whenever your hero attacks  gain 5 Armor ,6.0,7.0,,['Warrior'],Minion,Common,3.4,,
armored-warhorse,4,Battlecry :  Reveal a minion in each deck  If yours costs more  gain Charge ,5.0,3.0,,['Neutral'],Minion,Rare,2.5,['Beast'],
armorsmith,2,Whenever a friendly minion takes damage  gain 1 Armor ,1.0,4.0,,['Warrior'],Minion,Rare,4.4,,
arms-dealer,1,After you summon an Undead  give it +1 Attack ,1.0,2.0,,['Neutral'],Minion,Common,3.4,['Undead'],
army-of-the-dead,5,Raise up to 5 Corpses as 2/2 Risen Ghouls with Rush ,,,,['Death Knight'],Spell,Common,3.9,,Shadow
arrogant-crusader,4,Deathrattle :  If it's your opponent's turn  summon a 2/2 Ghoul ,5.0,2.0,,['Paladin'],Minion,Rare,2.4,,
arrow-smith,2,After you cast a spell  deal 1 damage to the lowest Health enemy ,2.0,3.0,,['Hunter'],Minion,Common,3.6,['Naga'],
arson-accusation,2,Choose a minion  Destroy it after your hero takes damage ,,,,['Warlock'],Spell,Common,4.5,,Fire
artificer-xymox,8,Battlecry :  Discover and cast a Relic  Infuse (5) :  Cast all three instead ,8.0,8.0,,"['Hunter', 'Demon Hunter']",Minion,Legendary,3.4,,
ashen-elemental,3,Battlecry :  Whenever your opponent draws a card next turn  they take 2 damage ,2.0,4.0,,['Neutral'],Minion,Epic,3.3,['Elemental'],
ashtongue-battlelord,4,TauntLifesteal,3.0,5.0,,"['Hunter', 'Demon Hunter']",Minion,Common,3.8,,
ashtongue-slayer,2,Battlecry :  Give a Stealthed minion +3 Attack and Immune this turn ,3.0,2.0,,['Rogue'],Minion,Rare,4.4,,
asphyxiate,3,Destroy the highest Attack enemy minion ,,,,['Death Knight'],Spell,Common,3.2,,Shadow
assassinate,4,Destroy an enemy minion ,,,,['Rogue'],Spell,Common,3.7,,
assassins-blade,4,You must be logged in to post a comment ,2.0,,5.0,['Rogue'],Weapon,Rare,2.8,,
astalor-bloodsworn,2,Battlecry :  Add Astalor  the Protector to your hand Manathirst (5) :  Deal 2 damage ,2.0,2.0,,['Neutral'],Minion,Legendary,4.1,,
astral-communion,4,Gain 10 Mana Crystals Discard your hand ,,,,['Druid'],Spell,Epic,2.5,,Arcane
astral-rift,2,Add 2 random minions to your hand ,,,,['Mage'],Spell,Rare,2.4,,Arcane
astral-tiger,4,Deathrattle :  Shuffle a copy of this minion into your deck ,3.0,5.0,,['Druid'],Minion,Epic,3.2,,
astromancer,7,Battlecry :  Summon a random minion with a Cost equal to the number of cards in your hand ,5.0,5.0,,['Mage'],Minion,Epic,3.7,,
astromancer-solarian,2,Spell Damage +1Deathrattle :  Shuffle 'Solarian Prime' into your deck ,3.0,2.0,,['Mage'],Minion,Legendary,4.5,,
asvedon-the-grandshield,3,TauntBattlecry :  Cast a copy of the last spell your opponent played ,3.0,4.0,,['Warrior'],Minion,Legendary,3.9,,
athletic-studies,1,Discover a Rush minion  Your next one costs (1) less ,,,,['Warrior'],Spell,Common,3.7,,
attorney-at-maw,2,Choose One - Silence a minion; or Give a minion Immune this turn ,1.0,3.0,,['Druid'],Minion,Common,4.5,,
auchenai-phantasm,2,Battlecry :  This turn  your healing effects deal damage instead ,3.0,2.0,,['Priest'],Minion,Epic,3.7,,
auchenai-soulpriest,4,Your cards and powers that restore Health now deal damage instead ,3.0,5.0,,['Priest'],Minion,Rare,4.4,,
auctioneer-jaxon,2,Whenever you Trade  Discover a card from your deck to draw instead ,2.0,3.0,,['Neutral'],Minion,Legendary,2.8,,
auctionhouse-gavel,2,After your hero attacks  reduce the Cost of a Battlecry minion in your hand by (1) ,2.0,,2.0,['Shaman'],Weapon,Rare,3.3,,
auctionmaster-beardo,3,After you cast a spell  refresh your Hero Power ,3.0,4.0,,['Neutral'],Minion,Legendary,2.5,,
audio-amplifier,2,Battlecry :  Set your maximum Mana and hand size to 11 ,2.0,3.0,,['Neutral'],Minion,Epic,4.1,['Mech'],
audio-medic,2,RushFinale :  Gain Lifesteal ,2.0,3.0,,['Neutral'],Minion,Common,3.0,,
audio-splitter,2,Deathrattle :  Copy the highest Cost spell in your hand ,3.0,2.0,,['Mage'],Minion,Common,3.7,['Mech'],
