,name,cardSet,type,text,playerClass,rarity,health,mechanics,cost,attack,race,spellSchool,durability,Category,armor,multiClassGroup
142,Savagery,Classic,Spell,Deal damage equal to your hero's Attack to a minion.,Druid,Rare,,[{'name': 'AffectedBySpellPower'}],1.0,,,,,Classic,,
143,Secretkeeper,Classic,Minion,"Whenever a <b>Secret</b> is played, gain +1/+1.",Neutral,Rare,2.0,[{'name': 'Secret'}],1.0,1.0,,,,Classic,,
144,Shield Slam,Classic,Spell,Deal 1 damage to a minion for each Armor you have.,Warrior,Epic,,[{'name': 'AffectedBySpellPower'}],1.0,,,,,Classic,,
145,Shieldbearer,Classic,Minion,<b>Taunt</b>,Neutral,Common,4.0,[{'name': 'Taunt'}],1.0,0.0,,,,Classic,,
147,Southsea Deckhand,Classic,Minion,Has <b>Charge</b> while you have a weapon equipped.,Neutral,Common,1.0,[{'name': 'Charge'}],1.0,2.0,Pirate,,,Classic,,
151,Upgrade!,Classic,Spell,"If you have a weapon, give it +1/+1. Otherwise equip a 1/3 weapon.",Warrior,Rare,,,1.0,,,,,Classic,,
155,Worgen Infiltrator,Classic,Minion,<b>Stealth</b>,Neutral,Common,1.0,[{'name': 'Stealth'}],1.0,2.0,,,,Classic,,
158,Young Dragonhawk,Classic,Minion,<b>Windfury</b>,Neutral,Common,1.0,[{'name': 'Windfury'}],1.0,1.0,Beast,,,Classic,,
159,Young Priestess,Classic,Minion,"At the end of your turn, give another random friendly minion +1 Health.",Neutral,Rare,1.0,,1.0,2.0,,,,Classic,,
160,Amani Berserker,Classic,Minion,Has +3 Attack while damaged.,Neutral,Common,3.0,,2.0,2.0,,,,Classic,,
161,Ancestral Spirit,Classic,Spell,"Give a minion ""<b>Deathrattle:</b> Resummon this minion.""",Shaman,Rare,,[{'name': 'Deathrattle'}],2.0,,,,,Classic,,
162,Ancient Watcher,Classic,Minion,Can't attack.,Neutral,Rare,5.0,,2.0,4.0,,,,Classic,,
163,Argent Protector,Classic,Minion,<b>Battlecry:</b> Give a friendly minion <b>Divine Shield</b>.,Paladin,Common,2.0,"[{'name': 'Divine Shield'}, {'name': 'Battlecry'}]",2.0,3.0,,,,Classic,,
164,Armorsmith,Classic,Minion,"Whenever a friendly minion_takes damage, gain 1 Armor.",Warrior,Rare,4.0,,2.0,1.0,,,,Classic,,
165,Battle Rage,Classic,Spell,Draw a card for each damaged friendly character.,Warrior,Common,,,2.0,,,,,Classic,,
166,Betrayal,Classic,Spell,Force an enemy minion to deal its damage to the minions next to it.,Rogue,Common,,,2.0,,,,,Classic,,
167,Blade Flurry,Classic,Spell,Destroy your weapon and deal its damage to all enemy minions.,Rogue,Rare,,[{'name': 'AffectedBySpellPower'}],2.0,,,,,Classic,,
168,Bloodmage Thalnos,Classic,Minion,<b>Spell Damage +1</b>\n<b>Deathrattle:</b> Draw a card.,Neutral,Legendary,1.0,"[{'name': 'Deathrattle'}, {'name': 'Spell Damage'}]",2.0,1.0,,,,Classic,,
169,Bloodsail Raider,Classic,Minion,<b>Battlecry:</b> Gain Attack equal to the Attack\nof your weapon.,Neutral,Common,3.0,[{'name': 'Battlecry'}],2.0,2.0,Pirate,,,Classic,,
170,Cold Blood,Classic,Spell,Give a minion +2 Attack. <b>Combo:</b> +4 Attack instead.,Rogue,Common,,[{'name': 'Combo'}],2.0,,,,,Classic,,
171,Commanding Shout,Classic,Spell,Your minions can't be reduced below 1 Health this turn. Draw a card.,Warrior,Rare,,,2.0,,,,,Classic,,
172,Crazed Alchemist,Classic,Minion,<b>Battlecry:</b> Swap the Attack and Health of a minion.,Neutral,Rare,2.0,[{'name': 'Battlecry'}],2.0,2.0,,,,Classic,,
173,Cruel Taskmaster,Classic,Minion,<b>Battlecry:</b> Deal 1 damage to a minion and give it +2_Attack.,Warrior,Common,2.0,[{'name': 'Battlecry'}],2.0,2.0,,,,Classic,,
174,Defias Ringleader,Classic,Minion,<b>Combo:</b> Summon a 2/1 Defias Bandit.,Rogue,Common,2.0,[{'name': 'Combo'}],2.0,2.0,,,,Classic,,
175,Demonfire,Classic,Spell,"Deal $2 damage to a minion. If it’s a friendly Demon, give it +2/+2 instead.",Warlock,Common,,,2.0,,,Fel,,Classic,,
176,Dire Wolf Alpha,Classic,Minion,Adjacent minions have +1_Attack.,Neutral,Common,2.0,"[{'name': 'AdjacentBuff'}, {'name': 'Aura'}]",2.0,2.0,Beast,,,Classic,,
177,Doomsayer,Classic,Minion,"At the start of your turn, destroy ALL minions.",Neutral,Epic,7.0,,2.0,0.0,,,,Classic,,
178,Eviscerate,Classic,Spell,Deal $2 damage. <b>Combo:</b> Deal $4 damage instead.,Rogue,Common,,[{'name': 'Combo'}],2.0,,,,,Classic,,
179,Explosive Trap,Classic,Spell,"<b>Secret:</b> When your hero is attacked, deal $2 damage to all enemies.",Hunter,Common,,[{'name': 'Secret'}],2.0,,,Fire,,Classic,,
180,Faerie Dragon,Classic,Minion,Can't be targeted by spells or Hero Powers.,Neutral,Common,2.0,,2.0,3.0,Dragon,,,Classic,,
181,Freezing Trap,Classic,Spell,"<b>Secret:</b> When an enemy minion attacks, return it to its owner's hand. It costs (2) more.",Hunter,Common,,[{'name': 'Secret'}],2.0,,,Frost,,Classic,,
185,Knife Juggler,Classic,Minion,"[x]After you summon a\nminion, deal 1 damage\nto a random enemy.",Neutral,Rare,2.0,,2.0,3.0,,,,Classic,,
188,Lightwell,Classic,Minion,"At the start of your turn, restore #3 Health to a damaged friendly character.",Priest,Rare,5.0,,2.0,0.0,,,,Classic,,
189,Loot Hoarder,Classic,Minion,<b>Deathrattle:</b> Draw a card.,Neutral,Common,1.0,[{'name': 'Deathrattle'}],2.0,2.0,,,,Classic,,
190,Lorewalker Cho,Classic,Minion,"Whenever a player casts a spell, put a copy into the other player’s hand.",Neutral,Legendary,4.0,,2.0,0.0,,,,Classic,,
191,Mad Bomber,Classic,Minion,<b>Battlecry:</b> Deal 3 damage randomly split between all other characters.,Neutral,Common,2.0,[{'name': 'Battlecry'}],2.0,3.0,,,,Classic,,
192,Mana Addict,Classic,Minion,"Whenever you cast a spell, gain +2 Attack this turn.",Neutral,Rare,3.0,,2.0,1.0,,,,Classic,,
193,Mana Wraith,Classic,Minion,ALL minions cost (1) more.,Neutral,Rare,2.0,[{'name': 'Aura'}],2.0,2.0,,,,Classic,,
194,Master Swordsmith,Classic,Minion,"At the end of your turn, give another random friendly minion +1 Attack.",Neutral,Rare,3.0,,2.0,1.0,,,,Classic,,
195,Millhouse Manastorm,Classic,Minion,<b>Battlecry:</b> Enemy spells cost (0) next turn.,Neutral,Legendary,4.0,[{'name': 'Battlecry'}],2.0,4.0,,,,Classic,,
198,Misdirection,Classic,Spell,"<b>Secret:</b> When an enemy attacks your hero, instead it attacks another random character.",Hunter,Rare,,[{'name': 'Secret'}],2.0,,,,,Classic,,
199,Nat Pagle,Classic,Minion,"At the start of your turn, you have a 50% chance to draw an extra card.",Neutral,Legendary,4.0,,2.0,0.0,,,,Classic,,
202,Patient Assassin,Classic,Minion,<b>Stealth</b>\n <b>Poisonous</b>,Rogue,Epic,2.0,"[{'name': 'Stealth'}, {'name': 'Poisonous'}]",2.0,1.0,,,,Classic,,
203,Pint-Sized Summoner,Classic,Minion,The first minion you play each turn costs (1) less.,Neutral,Rare,2.0,[{'name': 'Aura'}],2.0,2.0,,,,Classic,,
204,Power of the Wild,Classic,Spell,<b>Choose One -</b> Give your minions +1/+1; or Summon a 3/2 Panther.,Druid,Common,,,2.0,,,,,Classic,,
205,Rampage,Classic,Spell,Give a damaged minion +3/+3.,Warrior,Common,,,2.0,,,,,Classic,,
206,Scavenging Hyena,Classic,Minion,"Whenever a friendly Beast dies, gain +2/+1.",Hunter,Common,2.0,,2.0,2.0,Beast,,,Classic,,
207,Shadowform,Classic,Spell,Your Hero Power becomes 'Deal 2 damage.',Priest,Epic,,,2.0,,,Shadow,,Classic,,
208,Slam,Classic,Spell,"Deal $2 damage to a minion. If it survives, draw a card.",Warrior,Common,,,2.0,,,,,Classic,,
209,Snake Trap,Classic,Spell,"<b>Secret:</b> When one of your minions is attacked, summon three 1/1 Snakes.",Hunter,Epic,,[{'name': 'Secret'}],2.0,,,,,Classic,,
210,Snipe,Classic,Spell,"<b>Secret:</b> After your opponent plays a minion, deal $4 damage to it.",Hunter,Common,,[{'name': 'Secret'}],2.0,,,,,Classic,,
213,Stormforged Axe,Classic,Weapon,<b>Overload:</b> (1),Shaman,Common,,[{'name': 'Overload'}],2.0,2.0,,,3.0,Classic,,
215,Sunfury Protector,Classic,Minion,<b>Battlecry:</b> Give adjacent minions <b>Taunt</b>.,Neutral,Rare,3.0,"[{'name': 'Taunt'}, {'name': 'Battlecry'}]",2.0,2.0,,,,Classic,,
216,Thoughtsteal,Classic,Spell,Copy 2 cards in your opponent's deck and add them to your hand.,Priest,Common,,,2.0,,,Shadow,,Classic,,
220,Wild Pyromancer,Classic,Minion,"After you cast a spell, deal 1 damage to ALL minions.",Neutral,Rare,2.0,,2.0,3.0,,,,Classic,,
221,Wrath,Classic,Spell,<b>Choose One -</b>\nDeal $3 damage to a minion; or $1 damage\nand draw a card.,Druid,Common,,,2.0,,,Nature,,Classic,,
222,Youthful Brewmaster,Classic,Minion,<b>Battlecry:</b> Return a friendly minion from the battlefield to your hand.,Neutral,Common,2.0,[{'name': 'Battlecry'}],2.0,3.0,,,,Classic,,
223,Alarm-o-Bot,Classic,Minion,"[x]At the start of your turn,\nswap this minion with a\n   random one in your hand.",Neutral,Rare,3.0,,3.0,0.0,Mech,,,Classic,,
224,Aldor Peacekeeper,Classic,Minion,<b>Battlecry:</b> Change an_enemy minion's Attack to 1.,Paladin,Rare,3.0,[{'name': 'Battlecry'}],3.0,3.0,,,,Classic,,
225,Arcane Golem,Classic,Minion,<b>Charge</b>. <b>Battlecry:</b> Give your opponent a Mana Crystal.,Neutral,Rare,2.0,"[{'name': 'Battlecry'}, {'name': 'Charge'}]",3.0,4.0,,,,Classic,,
227,Blood Knight,Classic,Minion,<b>Battlecry:</b> All minions lose <b>Divine Shield</b>. Gain +3/+3 for each Shield lost.,Neutral,Epic,3.0,"[{'name': 'Divine Shield'}, {'name': 'Battlecry'}]",3.0,3.0,,,,Classic,,
228,Coldlight Seer,Classic,Minion,<b>Battlecry:</b> Give your other Murlocs +2 Health.,Neutral,Rare,3.0,[{'name': 'Battlecry'}],3.0,2.0,Murloc,,,Classic,,
229,Cone of Cold,Classic,Spell,"<b>Freeze</b> a minion and the minions next to it, and deal $1 damage to them.",Mage,Common,,[{'name': 'Freeze'}],3.0,,,Frost,,Classic,,
230,Counterspell,Classic,Spell,"<b>Secret:</b> When your opponent casts a spell, <b>Counter</b> it.",Mage,Rare,,[{'name': 'Secret'}],3.0,,,Arcane,,Classic,,
231,Deadly Shot,Classic,Spell,Destroy a random enemy minion.,Hunter,Common,,,3.0,,,,,Classic,,
232,Demolisher,Classic,Minion,"At the start of your turn, deal 2 damage to a random enemy.",Neutral,Rare,4.0,,3.0,1.0,Mech,,,Classic,,
233,Eaglehorn Bow,Classic,Weapon,"[x]Whenever a friendly\n<b>Secret</b> is revealed,\ngain +1 Durability.",Hunter,Rare,,[{'name': 'Secret'}],3.0,3.0,,,2.0,Classic,,
234,Earthen Ring Farseer,Classic,Minion,<b>Battlecry:</b> Restore #3_Health.,Neutral,Common,3.0,[{'name': 'Battlecry'}],3.0,3.0,,,,Classic,,
235,Edwin VanCleef,Classic,Minion,<b>Combo:</b> Gain +2/+2 for each other card you've played this turn.,Rogue,Legendary,2.0,[{'name': 'Combo'}],3.0,2.0,,,,Classic,,
236,Emperor Cobra,Classic,Minion,<b>Poisonous</b>,Neutral,Rare,3.0,[{'name': 'Poisonous'}],3.0,2.0,Beast,,,Classic,,
237,Equality,Classic,Spell,Change the Health of ALL minions to 1.,Paladin,Rare,,,3.0,,,Holy,,Classic,,
238,Far Sight,Classic,Spell,Draw a card. That card costs (3) less.,Shaman,Epic,,,3.0,,,,,Classic,,
239,Felguard,Classic,Minion,<b>Taunt</b>\n<b>Battlecry:</b> Destroy one of your Mana Crystals.,Warlock,Rare,5.0,"[{'name': 'Taunt'}, {'name': 'Battlecry'}]",3.0,3.0,Demon,,,Classic,,
240,Feral Spirit,Classic,Spell,Summon two 2/3 Spirit Wolves with <b>Taunt</b>. <b>Overload:</b> (1),Shaman,Rare,,"[{'name': 'Overload'}, {'name': 'Taunt'}]",3.0,,,,,Classic,,
241,Flesheating Ghoul,Classic,Minion,"Whenever a minion dies, gain +1 Attack.",Neutral,Common,3.0,,3.0,3.0,,,,Classic,,
242,Frothing Berserker,Classic,Minion,"Whenever a minion takes damage, gain +1 Attack.",Warrior,Rare,4.0,,3.0,2.0,,,,Classic,,
243,Harvest Golem,Classic,Minion,<b>Deathrattle:</b> Summon a 2/1 Damaged Golem.,Neutral,Common,3.0,[{'name': 'Deathrattle'}],3.0,2.0,Mech,,,Classic,,
244,Headcrack,Classic,Spell,Deal $2 damage to the enemy hero. <b>Combo:</b> Return this to your hand next turn.,Rogue,Rare,,[{'name': 'Combo'}],3.0,,,,,Classic,,
245,Ice Barrier,Classic,Spell,"<b>Secret:</b> When your\nhero is attacked,\ngain 8 Armor.",Mage,Common,,[{'name': 'Secret'}],3.0,,,Frost,,Classic,,
246,Imp Master,Classic,Minion,"[x]At the end of your turn, deal\n1 damage to this minion\n and summon a 1/1 Imp.",Neutral,Rare,5.0,,3.0,1.0,,,,Classic,,
247,Injured Blademaster,Classic,Minion,<b>Battlecry:</b> Deal 4 damage to HIMSELF.,Neutral,Rare,7.0,[{'name': 'Battlecry'}],3.0,4.0,,,,Classic,,
248,Ironbeak Owl,Classic,Minion,<b>Battlecry:</b> <b>Silence</b> a_minion.,Neutral,Common,1.0,"[{'name': 'Silence'}, {'name': 'Battlecry'}]",3.0,2.0,Beast,,,Classic,,
249,Jungle Panther,Classic,Minion,<b>Stealth</b>,Neutral,Common,2.0,[{'name': 'Stealth'}],3.0,4.0,Beast,,,Classic,,
250,King Mukla,Classic,Minion,<b>Battlecry:</b> Give your opponent 2 Bananas.,Neutral,Legendary,5.0,[{'name': 'Battlecry'}],3.0,5.0,Beast,,,Classic,,
251,Kirin Tor Mage,Classic,Minion,[x]<b>Battlecry:</b> The next <b>Secret</b>\nyou play this turn costs (0).,Mage,Rare,3.0,"[{'name': 'Secret'}, {'name': 'Battlecry'}]",3.0,4.0,,,,Classic,,
252,Lava Burst,Classic,Spell,Deal $5 damage. <b>Overload:</b> (2),Shaman,Rare,,[{'name': 'Overload'}],3.0,,,Fire,,Classic,,
253,Lightning Storm,Classic,Spell,Deal $3 damage to all_enemy minions. <b>Overload:</b> (2),Shaman,Rare,,[{'name': 'Overload'}],3.0,,,Nature,,Classic,,
254,Lightspawn,Classic,Minion,This minion's Attack is always equal to its Health.,Priest,Common,4.0,,3.0,0.0,Elemental,,,Classic,,
255,Mana Tide Totem,Classic,Minion,"At the end of your turn, draw a card.",Shaman,Rare,3.0,,3.0,0.0,Totem,,,Classic,,
256,Mark of Nature,Classic,Spell,<b>Choose One -</b> Give a minion +4 Attack; or +4 Health and <b>Taunt</b>.,Druid,Common,,[{'name': 'Taunt'}],3.0,,,Nature,,Classic,,
257,Mirror Entity,Classic,Spell,"<b>Secret:</b> After your opponent plays a minion, summon a copy of it.",Mage,Common,,[{'name': 'Secret'}],3.0,,,Arcane,,Classic,,
258,Murloc Warleader,Classic,Minion,Your other Murlocs have +2 Attack.,Neutral,Epic,3.0,[{'name': 'Aura'}],3.0,3.0,Murloc,,,Classic,,
259,Perdition's Blade,Classic,Weapon,<b>Battlecry:</b> Deal 1 damage. <b>Combo:</b> Deal 2 instead.,Rogue,Rare,,"[{'name': 'Battlecry'}, {'name': 'Combo'}]",3.0,2.0,,,2.0,Classic,,
261,Questing Adventurer,Classic,Minion,"Whenever you play a card, gain +1/+1.",Neutral,Rare,2.0,,3.0,2.0,,,,Classic,,
262,Raging Worgen,Classic,Minion,Has +1 Attack and <b>Windfury</b> while damaged.,Neutral,Common,3.0,[{'name': 'Windfury'}],3.0,3.0,,,,Classic,,
263,Scarlet Crusader,Classic,Minion,<b>Divine Shield</b>,Neutral,Common,1.0,[{'name': 'Divine Shield'}],3.0,3.0,,,,Classic,,
264,Sense Demons,Classic,Spell,Draw 2 Demons\nfrom your deck.,Warlock,Common,,,3.0,,,Shadow,,Classic,,
265,Shadow Madness,Classic,Spell,Gain control of an enemy minion with 3 or less Attack until end of turn.,Priest,Rare,,,3.0,,,Shadow,,Classic,,
266,SI:7 Agent,Classic,Minion,<b>Combo:</b> Deal 2 damage.,Rogue,Rare,3.0,[{'name': 'Combo'}],3.0,3.0,,,,Classic,,
267,Southsea Captain,Classic,Minion,Your other Pirates have +1/+1.,Neutral,Epic,3.0,[{'name': 'Aura'}],3.0,3.0,Pirate,,,Classic,,
268,Spellbender,Classic,Spell,"<b>Secret:</b> When an enemy casts a spell on a minion, summon a 1/3 as the new target.",Mage,Epic,,[{'name': 'Secret'}],3.0,,,,,Classic,,
269,Sword of Justice,Classic,Weapon,"After you summon a minion, give it +1/+1 and this loses 1_Durability.",Paladin,Epic,,,3.0,1.0,,,5.0,Classic,,
270,Tauren Warrior,Classic,Minion,<b>Taunt</b>\nHas +3 Attack while damaged.,Neutral,Common,3.0,[{'name': 'Taunt'}],3.0,2.0,,,,Classic,,
272,Thrallmar Farseer,Classic,Minion,<b>Windfury</b>,Neutral,Common,3.0,[{'name': 'Windfury'}],3.0,2.0,,,,Classic,,
274,Tinkmaster Overspark,Classic,Minion,[x]<b>Battlecry:</b> Transform\nanother random minion\ninto a 5/5 Devilsaur\n or a 1/1 Squirrel.,Neutral,Legendary,3.0,[{'name': 'Battlecry'}],3.0,3.0,,,,Classic,,
275,Unbound Elemental,Classic,Minion,"After you play a card_with <b>Overload</b>, gain_+1/+1.",Shaman,Common,4.0,[{'name': 'Overload'}],3.0,3.0,Elemental,,,Classic,,
276,Unleash the Hounds,Classic,Spell,"For each enemy minion, summon a 1/1 Hound with <b>Charge</b>.",Hunter,Common,,[{'name': 'Charge'}],3.0,,,,,Classic,,
277,Vaporize,Classic,Spell,"<b>Secret:</b> When a minion attacks your hero, destroy it.",Mage,Rare,,[{'name': 'Secret'}],3.0,,,Fire,,Classic,,
278,Void Terror,Classic,Minion,[x]<b>Battlecry:</b> Destroy both\nadjacent minions and gain\n their Attack and Health.,Warlock,Rare,4.0,[{'name': 'Battlecry'}],3.0,3.0,Demon,,,Classic,,
280,Ancient Brewmaster,Classic,Minion,<b>Battlecry:</b> Return a friendly minion from the battlefield to your hand.,Neutral,Common,4.0,[{'name': 'Battlecry'}],4.0,5.0,,,,Classic,,
281,Ancient Mage,Classic,Minion,<b>Battlecry:</b> Give adjacent_minions <b>Spell_Damage +1</b>.,Neutral,Rare,5.0,"[{'name': 'Spell Damage'}, {'name': 'Battlecry'}]",4.0,2.0,,,,Classic,,
282,Arathi Weaponsmith,Classic,Minion,<b>Battlecry:</b> Equip a 2/2_weapon.,Warrior,Common,3.0,[{'name': 'Battlecry'}],4.0,3.0,,,,Classic,,
283,Big Game Hunter,Classic,Minion,<b>Battlecry:</b> Destroy a minion with 7 or more Attack.,Neutral,Epic,2.0,[{'name': 'Battlecry'}],4.0,4.0,,,,Classic,,
284,Bite,Classic,Spell,Give your hero +4_Attack this turn. Gain 4 Armor.,Druid,Rare,,,4.0,,,,,Classic,,
285,Cult Master,Classic,Minion,"After a friendly minion dies, draw a card.",Neutral,Common,2.0,,4.0,4.0,,,,Classic,,
286,Dark Iron Dwarf,Classic,Minion,<b>Battlecry:</b> Give a minion +2_Attack this turn.,Neutral,Common,4.0,[{'name': 'Battlecry'}],4.0,4.0,,,,Classic,,
287,Defender of Argus,Classic,Minion,<b>Battlecry:</b> Give adjacent minions +1/+1 and <b>Taunt</b>.,Neutral,Rare,3.0,"[{'name': 'Taunt'}, {'name': 'Battlecry'}]",4.0,3.0,,,,Classic,,
289,Dread Corsair,Classic,Minion,<b>Taunt</b>\nCosts (1) less per Attack of_your weapon.,Neutral,Common,3.0,[{'name': 'Taunt'}],4.0,3.0,Pirate,,,Classic,,
291,Ethereal Arcanist,Classic,Minion,"If you control a <b>Secret</b> at_the end of your turn, gain +2/+2.",Mage,Rare,3.0,[{'name': 'Secret'}],4.0,3.0,,,,Classic,,
292,Keeper of the Grove,Classic,Minion,<b>Choose One -</b> Deal_2_damage; or <b>Silence</b> a minion.,Druid,Rare,4.0,[{'name': 'Silence'}],4.0,2.0,,,,Classic,,
293,Mass Dispel,Classic,Spell,<b>Silence</b> all enemy minions. Draw a card.,Priest,Rare,,[{'name': 'Silence'}],4.0,,,Holy,,Classic,,
294,Master of Disguise,Classic,Minion,<b>Battlecry:</b> Give a friendly minion <b>Stealth</b> until your next turn.,Rogue,Rare,4.0,"[{'name': 'Stealth'}, {'name': 'Battlecry'}]",4.0,4.0,,,,Classic,,
295,Mindgames,Classic,Spell,Put a copy of\na random minion from\nyour opponent's deck into the battlefield.,Priest,Epic,,,4.0,,,Shadow,,Classic,,
296,Mogu'shan Warden,Classic,Minion,<b>Taunt</b>,Neutral,Common,7.0,[{'name': 'Taunt'}],4.0,1.0,,,,Classic,,
298,Mortal Strike,Classic,Spell,"Deal $4 damage. If you have 12 or less Health, deal $6 instead.",Warrior,Rare,,,4.0,,,,,Classic,,
300,Pit Lord,Classic,Minion,<b>Battlecry:</b> Deal 5 damage to your hero.,Warlock,Epic,6.0,[{'name': 'Battlecry'}],4.0,5.0,Demon,,,Classic,,
301,Shadowflame,Classic,Spell,Destroy a friendly minion and deal its Attack damage to all enemy minions.,Warlock,Rare,,[{'name': 'AffectedBySpellPower'}],4.0,,,Shadow,,Classic,,
302,Silvermoon Guardian,Classic,Minion,<b>Divine Shield</b>,Neutral,Common,3.0,[{'name': 'Divine Shield'}],4.0,3.0,,,,Classic,,
303,Sorcerer's Apprentice,Classic,Minion,Your spells cost (1) less.,Mage,Common,2.0,[{'name': 'Aura'}],4.0,3.0,,,,Classic,,
304,Soul of the Forest,Classic,Spell,"Give your minions ""<b>Deathrattle:</b> Summon a 2/2 Treant.""",Druid,Common,,[{'name': 'Deathrattle'}],4.0,,,Nature,,Classic,,
305,Summoning Portal,Classic,Minion,"Your minions cost (2) less, but not less than (1).",Warlock,Common,4.0,[{'name': 'Aura'}],4.0,0.0,,,,Classic,,
306,Twilight Drake,Classic,Minion,<b>Battlecry:</b> Gain +1 Health for each card in your hand.,Neutral,Rare,1.0,[{'name': 'Battlecry'}],4.0,4.0,Dragon,,,Classic,,
307,Violet Teacher,Classic,Minion,"Whenever you cast a spell, summon a 1/1 Violet Apprentice.",Neutral,Rare,5.0,,4.0,3.0,,,,Classic,,
308,Abomination,Classic,Minion,<b>Taunt</b>. <b>Deathrattle:</b> Deal 2\ndamage to ALL characters.,Neutral,Rare,4.0,"[{'name': 'Taunt'}, {'name': 'Deathrattle'}]",5.0,4.0,,,,Classic,,
